Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
01/01/2020,Año nuevo,Urteberri eguna,CAE,EAE,Todos/denak,,,,,,
06/01/2020,Día de Reyes,Errege Magoen eguna,CAE,EAE,Todos/denak,,,,,,
19/03/2020,San José,San Jose eguna,CAE,EAE,Todos/denak,,,,,,
09/04/2020,Jueves Santo,Ostegun Santua,CAE,EAE,Todos/denak,,,,,,
10/04/2020,Viernes Santo,Ostiral Santua,CAE,EAE,Todos/denak,,,,,,
13/04/2020,Lunes de Pascua de Resurrección,Pazko Astelehena,CAE,EAE,Todos/denak,,,,,,
01/05/2020,Fiesta del trabajo,Langileen eguna,CAE,EAE,Todos/denak,,,,,,
25/07/2020,Santiago Apóstol,Santiago Apostolua,CAE,EAE,Todos/denak,,,,,,
15/08/2020,Asunción de la Virgen,Andra Mari eguna,CAE,EAE,Todos/denak,,,,,,
12/10/2020,Fiesta Nacional,Espainako jai nazionala,CAE,EAE,Todos/denak,,,,,,
08/12/2020,Día de la Inmaculada Concepción,Andre Maria Sortzez Garbiaren eguna,CAE,EAE,Todos/denak,,,,,,
25/12/2020,Natividad del Señor,Eguberri eguna,CAE,EAE,Todos/denak,,,,,,
31/07/2020,San Ignacio de Loiola,Loiolako San Ignazio,Bizkaia,Bizkaia,Bizkaia,,,,,,
31/07/2020,San Ignacio de Loiola,Loiolako San Ignazio,Gipuzkoa,Gipuzkoa,Gipuzkoa,,,,,,
28/04/2020,San Prudencio  ,San Prudentzio,Álava - Araba,Álava - Araba,Álava - Araba,,,,,,
15/05/2020,San Trokaz,San Trokaz,Abadiño  ,Abadiño  ,Bizkaia,1,43,150000,-2,610278,
15/06/2020,San Antonio,Antonio Deuna,Abanto y Ciérvana - Abanto Zierbena ,Abanto y Ciérvana-Abanto Zierbena ,Bizkaia,2,43,316389,-3,83333,
21/05/2020,La Ascensión  ,Asentzio Eguna  ,Ajangiz,Ajangiz,Bizkaia,911,43,301000,-2,671000,
24/08/2020,San Bartolomé,Bartolome Deuna,Alonsotegi,Alonsotegi,Bizkaia,912,43,245186,-2,988701,
