parent_code,kind,code,name,population,court
AC00016,municipality,ES01001,Alegría-Dulantzi,2876,N
AC00016,municipality,ES01002,Amurrio,10350,S
AC00016,municipality,ES01003,Aramaio,1467,N
AC00016,municipality,ES01004,Artziniega,1821,N
AC00016,municipality,ES01006,Armiñón,227,N
AC00016,municipality,ES01008,Arrazua-Ubarrundia,980,N
AC00016,municipality,ES01009,Asparrena,1614,N
AC00016,municipality,ES01010,Ayala/Aiara,2974,N
AC00016,municipality,ES01011,Baños de Ebro/Mañueta,291,N
AC00016,municipality,ES01013,Barrundia,883,N
AC00016,municipality,ES01014,Berantevilla,453,N
AC00016,municipality,ES01016,Bernedo,494,N
AC00016,municipality,ES01017,Campezo/Kanpezu,1040,N
AC00016,municipality,ES01018,Zigoitia,1747,N
AC00016,municipality,ES01019,Kripan,180,N
AC00016,municipality,ES01020,Kuartango,376,N
AC00016,municipality,ES01021,Elburgo/Burgelu,599,N
AC00016,municipality,ES01022,Elciego,1005,N
AC00016,municipality,ES01023,Elvillar/Bilar,333,N
AC00016,municipality,ES01027,Iruraiz-Gauna,517,N
AC00016,municipality,ES01028,Labastida/Bastida,1452,N
AC00016,municipality,ES01030,Lagrán,157,N
AC00016,municipality,ES01031,Laguardia,1494,N
AC00016,municipality,ES01032,Lanciego/Lantziego,691,N
AC00016,municipality,ES01033,Lapuebla de Labarca,865,N
AC00016,municipality,ES01034,Leza,203,N
AC00016,municipality,ES01036,Laudio/Llodio,18102,N
AC00016,municipality,ES01037,Arraia-Maeztu,726,N
AC00016,municipality,ES01039,Moreda de Álava,221,N
AC00016,municipality,ES01041,Navaridas,200,N
AC00016,municipality,ES01042,Okondo,1188,N
AC00016,municipality,ES01043,Oyón-Oion,3386,N
AC00016,municipality,ES01044,Peñacerrada-Urizaharra,261,N
AC00016,municipality,ES01046,Erriberagoitia/Ribera Alta,785,N
AC00016,municipality,ES01047,Ribera Baja/Erribera Beitia,1350,N
AC00016,municipality,ES01049,Añana,156,N
AC00016,municipality,ES01051,Salvatierra/Agurain,5062,N
AC00016,municipality,ES01052,Samaniego,316,N
AC00016,municipality,ES01053,San Millán/Donemiliaga,715,N
AC00016,municipality,ES01054,Urkabustaiz,1371,N
AC00016,municipality,ES01055,Valdegovía/Gaubea,996,N
AC00016,municipality,ES01056,Harana/Valle de Arana,221,N
AC00016,municipality,ES01057,Villabuena de Álava/Eskuernaga,296,N
AC00016,municipality,ES01058,Legutio,1885,N
AC00016,municipality,ES01059,Vitoria-Gasteiz,251774,S
AC00016,municipality,ES01060,Yécora/Iekora,268,N
AC00016,municipality,ES01061,Zalduondo,183,N
AC00016,municipality,ES01062,Zambrana,410,N
AC00016,municipality,ES01063,Zuia,2302,N
AC00016,municipality,ES01901,Iruña Oka/Iruña de Oca,3411,N
AC00016,municipality,ES01902,Lantarón,875,N
AC00008,municipality,ES02001,Abengibre,790,N
AC00008,municipality,ES02002,Alatoz,519,N
AC00008,municipality,ES02003,Albacete,173329,S
AC00008,municipality,ES02004,Albatana,692,N
AC00008,municipality,ES02005,Alborea,658,N
AC00008,municipality,ES02006,Alcadozo,654,N
AC00008,municipality,ES02007,Alcalá del Júcar,1170,N
AC00008,municipality,ES02008,Alcaraz,1351,S
AC00008,municipality,ES02009,Almansa,24419,S
AC00008,municipality,ES02010,Alpera,2265,N
AC00008,municipality,ES02011,Ayna,616,N
AC00008,municipality,ES02012,Balazote,2334,N
AC00008,municipality,ES02013,Balsa de Ves,158,N
AC00008,municipality,ES02014,El Ballestero,405,N
AC00008,municipality,ES02015,Barrax,1833,N
AC00008,municipality,ES02016,Bienservida,603,N
AC00008,municipality,ES02017,Bogarra,842,N
AC00008,municipality,ES02018,Bonete,1049,N
AC00008,municipality,ES02019,El Bonillo,2779,N
AC00008,municipality,ES02020,Carcelén,501,N
AC00008,municipality,ES02021,Casas de Juan Núñez,1307,N
AC00008,municipality,ES02022,Casas de Lázaro,363,N
AC00008,municipality,ES02023,Casas de Ves,572,N
AC00008,municipality,ES02024,Casas-Ibáñez,4538,S
AC00008,municipality,ES02025,Caudete,9963,N
AC00008,municipality,ES02026,Cenizate,1181,N
AC00008,municipality,ES02027,Corral-Rubio,324,N
AC00008,municipality,ES02028,Cotillas,123,N
AC00008,municipality,ES02029,Chinchilla de Monte-Aragón,4206,N
AC00008,municipality,ES02030,Elche de la Sierra,3585,N
AC00008,municipality,ES02031,Férez,643,N
AC00008,municipality,ES02032,Fuensanta,297,N
AC00008,municipality,ES02033,Fuente-Álamo,2489,N
AC00008,municipality,ES02034,Fuentealbilla,1792,N
AC00008,municipality,ES02035,La Gineta,2512,N
AC00008,municipality,ES02036,Golosalvo,104,N
AC00008,municipality,ES02037,Hellín,30306,S
AC00008,municipality,ES02038,La Herrera,326,N
AC00008,municipality,ES02039,Higueruela,1158,N
AC00008,municipality,ES02040,Hoya-Gonzalo,647,N
AC00008,municipality,ES02041,Jorquera,355,N
AC00008,municipality,ES02042,Letur,919,N
AC00008,municipality,ES02043,Lezuza,1358,N
AC00008,municipality,ES02044,Liétor,1175,N
AC00008,municipality,ES02045,Madrigueras,4652,N
AC00008,municipality,ES02046,Mahora,1383,N
AC00008,municipality,ES02047,Masegoso,110,N
AC00008,municipality,ES02048,Minaya,1501,N
AC00008,municipality,ES02049,Molinicos,852,N
AC00008,municipality,ES02050,Montalvos,97,N
AC00008,municipality,ES02051,Montealegre del Castillo,2051,N
AC00008,municipality,ES02052,Motilleja,571,N
AC00008,municipality,ES02053,Munera,3435,N
AC00008,municipality,ES02054,Navas de Jorquera,517,N
AC00008,municipality,ES02055,Nerpio,1191,N
AC00008,municipality,ES02056,Ontur,1987,N
AC00008,municipality,ES02057,Ossa de Montiel,2307,N
AC00008,municipality,ES02058,Paterna del Madera,348,N
AC00008,municipality,ES02059,Peñascosa,334,N
AC00008,municipality,ES02060,Peñas de San Pedro,1399,N
AC00008,municipality,ES02061,Pétrola,692,N
AC00008,municipality,ES02062,Povedilla,430,N
AC00008,municipality,ES02063,Pozohondo,1585,N
AC00008,municipality,ES02064,Pozo-Lorente,409,N
AC00008,municipality,ES02065,Pozuelo,481,N
AC00008,municipality,ES02066,La Recueja,242,N
AC00008,municipality,ES02067,Riópar,1332,N
AC00008,municipality,ES02068,Robledo,367,N
AC00008,municipality,ES02069,La Roda,15476,S
AC00008,municipality,ES02070,Salobre,480,N
AC00008,municipality,ES02071,San Pedro,1242,N
AC00008,municipality,ES02072,Socovos,1787,N
AC00008,municipality,ES02073,Tarazona de la Mancha,6235,N
AC00008,municipality,ES02074,Tobarra,7684,N
AC00008,municipality,ES02075,Valdeganga,2028,N
AC00008,municipality,ES02076,Vianos,346,N
AC00008,municipality,ES02077,Villa de Ves,56,N
AC00008,municipality,ES02078,Villalgordo del Júcar,1094,N
AC00008,municipality,ES02079,Villamalea,4027,N
AC00008,municipality,ES02080,Villapalacios,583,N
AC00008,municipality,ES02081,Villarrobledo,25184,S
AC00008,municipality,ES02082,Villatoya,109,N
AC00008,municipality,ES02083,Villavaliente,224,N
AC00008,municipality,ES02084,Villaverde de Guadalimar,338,N
AC00008,municipality,ES02085,Viveros,337,N
AC00008,municipality,ES02086,Yeste,2657,N
AC00008,municipality,ES02901,Pozo Cañada,2797,N
AC00010,municipality,ES03001,Adsubia,632,N
AC00010,municipality,ES03002,Agost,4758,N
AC00010,municipality,ES03003,Agres,565,N
AC00010,municipality,ES03004,Aigües,963,N
AC00010,municipality,ES03005,Albatera,12279,N
AC00010,municipality,ES03006,Alcalalí,1278,N
AC00010,municipality,ES03007,Alcocer de Planes,230,N
AC00010,municipality,ES03008,Alcoleja,173,N
AC00010,municipality,ES03009,Alcoy/Alcoi,58994,S
AC00010,municipality,ES03010,Alfafara,410,N
AC00010,municipality,ES03011,l'Alfàs del Pi,20482,N
AC00010,municipality,ES03012,Algorfa,2935,N
AC00010,municipality,ES03013,Algueña,1336,N
AC00010,municipality,ES03014,Alicante/Alacant,334887,S
AC00010,municipality,ES03015,Almoradí,20803,N
AC00010,municipality,ES03016,Almudaina,113,N
AC00010,municipality,ES03017,l'Alqueria d'Asnar,493,N
AC00010,municipality,ES03018,Altea,22290,N
AC00010,municipality,ES03019,Aspe,20714,N
AC00010,municipality,ES03020,Balones,131,N
AC00010,municipality,ES03021,Banyeres de Mariola,7068,N
AC00010,municipality,ES03022,Benasau,151,N
AC00010,municipality,ES03023,Beneixama,1685,N
AC00010,municipality,ES03024,Benejúzar,5402,N
AC00010,municipality,ES03025,Benferri,1942,N
AC00010,municipality,ES03026,Beniarbeig,2092,N
AC00010,municipality,ES03027,Beniardá,232,N
AC00010,municipality,ES03028,Beniarrés,1118,N
AC00010,municipality,ES03029,Benigembla,490,N
AC00010,municipality,ES03030,Benidoleig,1095,N
AC00010,municipality,ES03031,Benidorm,68721,S
AC00010,municipality,ES03032,Benifallim,105,N
AC00010,municipality,ES03033,Benifato,140,N
AC00010,municipality,ES03034,Benijófar,3322,N
AC00010,municipality,ES03035,Benilloba,724,N
AC00010,municipality,ES03036,Benillup,97,N
AC00010,municipality,ES03037,Benimantell,483,N
AC00010,municipality,ES03038,Benimarfull,409,N
AC00010,municipality,ES03039,Benimassot,106,N
AC00010,municipality,ES03040,Benimeli,418,N
AC00010,municipality,ES03041,Benissa,11005,N
AC00010,municipality,ES03042,el Benitachell/Poble Nou de Benitatxell,4276,N
AC00010,municipality,ES03043,Biar,3671,N
AC00010,municipality,ES03044,Bigastro,6733,N
AC00010,municipality,ES03045,Bolulla,420,N
AC00010,municipality,ES03046,Busot,2978,N
AC00010,municipality,ES03047,Calp,22725,N
AC00010,municipality,ES03048,Callosa d'En Sarrià,7373,N
AC00010,municipality,ES03049,Callosa de Segura,19038,N
AC00010,municipality,ES03050,el Campello,28349,N
AC00010,municipality,ES03051,el Campo de Mirra/Camp de Mirra,415,N
AC00010,municipality,ES03052,Cañada,1220,N
AC00010,municipality,ES03053,Castalla,10124,N
AC00010,municipality,ES03054,Castell de Castells,449,N
AC00010,municipality,ES03055,Catral,8639,N
AC00010,municipality,ES03056,Cocentaina,11511,N
AC00010,municipality,ES03057,Confrides,187,N
AC00010,municipality,ES03058,Cox,7297,N
AC00010,municipality,ES03059,Crevillent,28952,N
AC00010,municipality,ES03060,Quatretondeta,122,N
AC00010,municipality,ES03061,Daya Nueva,1737,N
AC00010,municipality,ES03062,Daya Vieja,690,N
AC00010,municipality,ES03063,Dénia,42166,S
AC00010,municipality,ES03064,Dolores,7470,N
AC00010,municipality,ES03065,Elche/Elx,232517,S
AC00010,municipality,ES03066,Elda,52618,S
AC00010,municipality,ES03067,Facheca,106,N
AC00010,municipality,ES03068,Famorca,47,N
AC00010,municipality,ES03069,Finestrat,6715,N
AC00010,municipality,ES03070,Formentera del Segura,4191,N
AC00010,municipality,ES03071,Gata de Gorgos,6049,N
AC00010,municipality,ES03072,Gaianes,452,N
AC00010,municipality,ES03073,Gorga,249,N
AC00010,municipality,ES03074,Granja de Rocamora,2580,N
AC00010,municipality,ES03075,el Castell de Guadalest,217,N
AC00010,municipality,ES03076,Guardamar del Segura,15348,N
AC00010,municipality,ES03077,el/Hondón de las Nieves Fondó de les Neus,2544,N
AC00010,municipality,ES03078,Hondón de los Frailes,1198,N
AC00010,municipality,ES03079,Ibi,23489,S
AC00010,municipality,ES03080,Jacarilla,2022,N
AC00010,municipality,ES03081,Xaló,2739,N
AC00010,municipality,ES03082,Jávea/Xàbia,27604,N
AC00010,municipality,ES03083,Jijona/Xixona,6865,N
AC00010,municipality,ES03084,l'Lorcha/Orxa,578,N
AC00010,municipality,ES03085,Llíber,935,N
AC00010,municipality,ES03086,Millena,237,N
AC00010,municipality,ES03088,Monforte del Cid,8165,N
AC00010,municipality,ES03089,Monóvar/Monòver,12167,N
AC00010,municipality,ES03090,Mutxamel,25352,N
AC00010,municipality,ES03091,Murla,470,N
AC00010,municipality,ES03092,Muro de Alcoy,9324,N
AC00010,municipality,ES03093,Novelda,25651,S
AC00010,municipality,ES03094,la Nucia,18603,N
AC00010,municipality,ES03095,Ondara,6894,N
AC00010,municipality,ES03096,Onil,7507,N
AC00010,municipality,ES03097,Orba,2174,N
AC00010,municipality,ES03098,Orxeta,736,N
AC00010,municipality,ES03099,Orihuela,77414,S
AC00010,municipality,ES03100,Parcent,929,N
AC00010,municipality,ES03101,Pedreguer,7699,N
AC00010,municipality,ES03102,Pego,10128,N
AC00010,municipality,ES03103,Penàguila,292,N
AC00010,municipality,ES03104,Petrer,34276,N
AC00010,municipality,ES03105,el/Pinoso Pinós,7966,N
AC00010,municipality,ES03106,Planes,693,N
AC00010,municipality,ES03107,Polop,4965,N
AC00010,municipality,ES03109,Rafal,4498,N
AC00010,municipality,ES03110,el Ràfol d'Almúnia,653,N
AC00010,municipality,ES03111,Redován,7869,N
AC00010,municipality,ES03112,Relleu,1160,N
AC00010,municipality,ES03113,Rojales,16963,N
AC00010,municipality,ES03114,la Romana,2434,N
AC00010,municipality,ES03115,Sagra,408,N
AC00010,municipality,ES03116,Salinas,1601,N
AC00010,municipality,ES03117,Sanet y Negrals,667,N
AC00010,municipality,ES03118,San Fulgencio,7855,N
AC00010,municipality,ES03119,Sant Joan d'Alacant,23915,N
AC00010,municipality,ES03120,San Miguel de Salinas,6034,N
AC00010,municipality,ES03121,Santa Pola,32306,N
AC00010,municipality,ES03122,San Vicente del Raspeig/Sant Vicent del Raspeig,58385,S
AC00010,municipality,ES03123,Sax,9845,N
AC00010,municipality,ES03124,Sella,580,N
AC00010,municipality,ES03125,Senija,584,N
AC00010,municipality,ES03127,Tàrbena,646,N
AC00010,municipality,ES03128,Teulada,11112,N
AC00010,municipality,ES03129,Tibi,1614,N
AC00010,municipality,ES03130,Tollos,57,N
AC00010,municipality,ES03131,Tormos,340,N
AC00010,municipality,ES03132,la Torremanzanas/Torre de les Maçanes,661,N
AC00010,municipality,ES03133,Torrevieja,83337,S
AC00010,municipality,ES03134,la Vall d'Alcalà,167,N
AC00010,municipality,ES03135,la Vall d'Ebo,216,N
AC00010,municipality,ES03136,Vall de Gallinera,571,N
AC00010,municipality,ES03137,la Vall de Laguar,846,N
