country_code,ac_code,code,name
ES,16,ES01002,Amurrio
ES,16,ES01059,Vitoria-Gasteiz
ES,08,ES02003,Albacete
ES,08,ES02008,Alcaraz
ES,08,ES02009,Almansa
ES,08,ES02024,Casas-Ibáñez
ES,08,ES02037,Hellín
ES,08,ES02069,La Roda
ES,08,ES02081,Villarrobledo
ES,10,ES03009,Alcoy/Alcoi
ES,10,ES03014,Alicante/Alacant
ES,10,ES03031,Benidorm
ES,10,ES03063,Dénia
ES,10,ES03065,Elche/Elx
ES,10,ES03066,Elda
ES,10,ES03079,Ibi
ES,10,ES03093,Novelda
ES,10,ES03099,Orihuela
ES,10,ES03122,San Vicente del Raspeig/Sant Vicent del Raspeig
ES,10,ES03133,Torrevieja
ES,10,ES03139,la Villajoyosa/Vila Joiosa
ES,10,ES03140,Villena
ES,01,ES04013,Almería
ES,01,ES04029,Berja
ES,01,ES04053,Huércal-Overa
ES,01,ES04076,Purchena
ES,01,ES04079,Roquetas de Mar
ES,01,ES04099,Vélez-Rubio
ES,01,ES04100,Vera
ES,01,ES04902,El Ejido
ES,07,ES05014,Arenas de San Pedro
ES,07,ES05016,Arévalo
ES,07,ES05019,Ávila
ES,07,ES05186,Piedrahíta
ES,11,ES06011,Almendralejo
ES,11,ES06015,Badajoz
ES,11,ES06036,Castuera
ES,11,ES06044,Don Benito
ES,11,ES06050,Fregenal de la Sierra
ES,11,ES06063,Herrera del Duque
ES,11,ES06070,Jerez de los Caballeros
ES,11,ES06074,Llerena
ES,11,ES06083,Mérida
ES,11,ES06088,Montijo
ES,11,ES06095,Olivenza
ES,11,ES06149,Villafranca de los Barros
ES,11,ES06153,Villanueva de la Serena
ES,11,ES06158,Zafra
ES,04,ES07015,Ciutadella de Menorca
ES,04,ES07026,Eivissa
ES,04,ES07027,Inca
ES,04,ES07032,Maó/Mahón
ES,04,ES07033,Manacor
ES,04,ES07040,Palma de Mallorca
ES,09,ES08006,Arenys de Mar
ES,09,ES08015,Badalona
ES,09,ES08019,Barcelona
ES,09,ES08022,Berga
ES,09,ES08073,Cornellà de Llobregat
ES,09,ES08077,Esplugues de Llobregat
ES,09,ES08089,Gavà
ES,09,ES08096,Granollers
ES,09,ES08101,L'Hospitalet de Llobregat
ES,09,ES08102,Igualada
ES,09,ES08113,Manresa
ES,09,ES08114,Martorell
ES,09,ES08121,Mataró
ES,09,ES08124,Mollet del Vallès
ES,09,ES08169,El Prat de Llobregat
ES,09,ES08184,Rubí
ES,09,ES08187,Sabadell
ES,09,ES08200,Sant Boi de Llobregat
ES,09,ES08211,Sant Feliu de Llobregat
ES,09,ES08245,Santa Coloma de Gramenet
ES,09,ES08266,Cerdanyola del Vallès
ES,09,ES08279,Terrassa
ES,09,ES08298,Vic
ES,09,ES08305,Vilafranca del Penedès
ES,09,ES08307,Vilanova i la Geltrú
ES,07,ES09018,Aranda de Duero
ES,07,ES09056,Briviesca
ES,07,ES09059,Burgos
ES,07,ES09194,Lerma
ES,07,ES09219,Miranda de Ebro
ES,07,ES09330,Salas de los Infantes
ES,07,ES09903,Villarcayo de Merindad de Castilla la Vieja
ES,11,ES10037,Cáceres
ES,11,ES10067,Coria
ES,11,ES10109,Logrosán
ES,11,ES10131,Navalmoral de la Mata
ES,11,ES10148,Plasencia
ES,11,ES10195,Trujillo
ES,11,ES10203,Valencia de Alcántara
ES,01,ES11004,Algeciras
ES,01,ES11006,Arcos de la Frontera
ES,01,ES11007,Barbate
ES,01,ES11012,Cádiz
ES,01,ES11015,Chiclana de la Frontera
ES,01,ES11020,Jerez de la Frontera
